service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RJUN22-801-1_Weekday-91,1,1,1,1,1,0,0,20221007,20221021
RJUN22-801-2_Saturday-18,0,0,0,0,0,1,0,20221008,20221008
RJUN22-801-3_Sunday-91,0,0,0,0,0,0,1,20221009,20221016
RJUN22-801-2_Saturday-91,0,0,0,0,0,1,0,20221015,20221015
RJUN22-807-1_Weekday-02,1,1,1,1,1,0,0,20221007,20221007
RJUN22-807-2_Saturday-11,0,0,0,0,0,1,0,20221008,20221008
RJUN22-807-3_Sunday-01,0,0,0,0,0,0,1,20221009,20221009
RJUN22-807-1_Weekday-90,1,1,1,1,1,0,0,20221010,20221021
RJUN22-807-2_Saturday-90,0,0,0,0,0,1,0,20221015,20221015
RJUN22-807-3_Sunday-90,0,0,0,0,0,0,1,20221016,20221016
RJUN22-804-1_Weekday-31,1,1,1,1,1,0,0,20221007,20221010
RJUN22-804-2_Saturday-19,0,0,0,0,0,1,0,20221008,20221008
RJUN22-804-3_Sunday-03,0,0,0,0,0,0,1,20221009,20221009
RJUN22-804-1_Weekday-91,1,1,1,1,1,0,0,20221011,20221021
RJUN22-804-2_Saturday-90,0,0,0,0,0,1,0,20221015,20221015
RJUN22-804-3_Sunday-90,0,0,0,0,0,0,1,20221016,20221016
RJUN22-803-1_Weekday-90,1,1,1,1,1,0,0,20221007,20221021
RJUN22-803-2_Saturday-90,0,0,0,0,0,1,0,20221008,20221015
RJUN22-803-3_Sunday-11,0,0,0,0,0,0,1,20221009,20221009
RJUN22-803-3_Sunday-90,0,0,0,0,0,0,1,20221016,20221016
RJUN22-802-1_Weekday-90,1,1,1,1,1,0,0,20221007,20221021
RJUN22-802-2_Saturday-14,0,0,0,0,0,1,0,20221008,20221008
RJUN22-802-3_Sunday-90,0,0,0,0,0,0,1,20221009,20221016
RJUN22-802-2_Saturday-90,0,0,0,0,0,1,0,20221015,20221015
