service_id,date,exception_type
RDEC22-801-3_Sunday-90,20221226,1
RDEC22-801-3_Sunday-90,20230102,1
RDEC22-801-3_Sunday-90,20230529,1
RDEC22-801-1_Weekday-90,20221226,2
RDEC22-801-1_Weekday-90,20230102,2
RDEC22-801-1_Weekday-90,20230529,2
RDEC22-802-3_Sunday-90,20221226,1
RDEC22-802-3_Sunday-90,20230102,1
RDEC22-802-3_Sunday-90,20230529,1
RDEC22-802-1_Weekday-90,20221226,2
RDEC22-802-1_Weekday-90,20230102,2
RDEC22-802-1_Weekday-90,20230529,2
RDEC22-803-3_Sunday-90,20221226,1
RDEC22-803-3_Sunday-90,20230102,1
RDEC22-803-3_Sunday-90,20230529,1
RDEC22-803-1_Weekday-90,20221226,2
RDEC22-803-1_Weekday-90,20230102,2
RDEC22-803-1_Weekday-90,20230529,2
RDEC22-804-3_Sunday-90,20221226,1
RDEC22-804-3_Sunday-90,20230102,1
RDEC22-804-3_Sunday-90,20230529,1
RDEC22-804-1_Weekday-90,20221226,2
RDEC22-804-1_Weekday-90,20230102,2
RDEC22-804-1_Weekday-90,20230529,2
RDEC22-806-3_Sunday-90,20221226,1
RDEC22-806-3_Sunday-90,20230102,1
RDEC22-806-3_Sunday-90,20230529,1
RDEC22-806-1_Weekday-90,20221226,2
RDEC22-806-1_Weekday-90,20230102,2
RDEC22-806-1_Weekday-90,20230529,2
RDEC22-807-3_Sunday-90,20221226,1
RDEC22-807-3_Sunday-90,20230102,1
RDEC22-807-3_Sunday-90,20230529,1
RDEC22-807-1_Weekday-90,20221226,2
RDEC22-807-1_Weekday-90,20230102,2
RDEC22-807-1_Weekday-90,20230529,2
